# submitted_item	validated_id	current_symbol
FBgn0265191	FBgn0265191	Gyg
FBgn0003965	FBgn0003965	v
FBgn0003660	FBgn0003660	Syb
FBgn0037084	FBgn0037084	Syx6
FBgn0044871	FBgn0044871	Gos28
FBgn0260857	FBgn0260857	Bet1
FBgn0260858	FBgn0260858	Ykt6
FBgn0264751	FBgn0264751	Vti1b
FBgn0266186	FBgn0266186	Vamp7
FBgn0001139	FBgn0001139	gro
FBgn0003091	FBgn0003091	Pkc53E
FBgn0011817	FBgn0011817	nmo
FBgn0014011	FBgn0014011	Rac2
FBgn0015380	FBgn0015380	drl
FBgn0015589	FBgn0015589	Apc
FBgn0024245	FBgn0024245	dnt
FBgn0026597	FBgn0026597	Axn
FBgn0029882	FBgn0029882	CG3226
FBgn0261617	FBgn0261617	nej
FBgn0263934	FBgn0263934	esn
FBgn0267912	FBgn0267912	CanA-14F
FBgn0036762	FBgn0036762	CG7430
FBgn0037024	FBgn0037024	tzn
FBgn0039635	FBgn0039635	Pdhb
FBgn0027080	FBgn0027080	TyrRS
FBgn0027081	FBgn0027081	ThrRS
FBgn0027088	FBgn0027088	GlyRS
FBgn0027090	FBgn0027090	GlnRS
FBgn0027091	FBgn0027091	CysRS
FBgn0027093	FBgn0027093	ArgRS
FBgn0027094	FBgn0027094	AlaRS
FBgn0031497	FBgn0031497	SerRS
FBgn0034401	FBgn0034401	MetRS
FBgn0026268	FBgn0026268	antdh
FBgn0030347	FBgn0030347	CG15739
FBgn0034405	FBgn0034405	Jheh2
FBgn0051075	FBgn0051075	CG31075
FBgn0069973	FBgn0069973	CG40485
